index,para_name,W_in,W_out,lambda_center_nm,T_list2_center,valid,status,basic_mat_path
37,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.15_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.15,0.5,1550,0.997090601726844,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.15_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
38,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.2_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.2,0.5,1550,0.996918351138988,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.2_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
39,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.25_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.25,0.5,1550,0.996846574293601,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.25_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
40,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.3_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.3,0.5,1550,0.996665283555762,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.3_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
41,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.35_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.35,0.5,1550,0.996797810433557,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.35_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
42,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.4_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.4,0.5,1550,0.996712637145608,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.4_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
43,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.45_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.45,0.5,1550,0.996205244305119,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.45_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
44,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.5_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,1.5,0.5,1550,0.995741671772401,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_1.5_W_out_0.5_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
45,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.45_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.45,0.55,1550,1.00013482524972,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.45_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
46,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.5_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.5,0.55,1550,1.00006415971528,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.5_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
47,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.55_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.55,0.55,1550,0.999655394846356,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.55_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
48,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.6_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.6,0.55,1550,0.999368190197622,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.6_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
49,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.65_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.65,0.55,1550,0.999181890123987,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.65_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
50,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.7_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.7,0.55,1550,0.998864239701438,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.7_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
51,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.75_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.75,0.55,1550,0.99864474547178,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.75_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
52,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.8_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.8,0.55,1550,0.998387516541738,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.8_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
53,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.85_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.85,0.55,1550,0.998150534986043,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.85_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
54,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.9_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.9,0.55,1550,0.99790953893652,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.9_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
55,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.95_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.95,0.55,1550,0.997800415728242,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.95_W_out_0.55_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
